INDEX:10881:<int>,timestamp:10881:<long>,accel_lon:10881:<double>,accel_trans:10881:<double>,accel_down:10881:<double>,speed:10881:<double>
5439,1646666731051444,-2.436933,0.008046653,0.4449508,4.61287
5440,1646666731101444,-2.607542,0.1651753,-0.06735989,4.74144
5441,1646666731151494,-2.504372,0.1259445,0.08946884,4.864082
5442,1646666731201525,-2.231254,0.1117804,0.1458353,4.980816
5443,1646666731251450,-2.246278,0.05222342,0.4006258,5.099199
5444,1646666731301453,-2.287698,0.2387772,0.3406063,5.217043
5445,1646666731351476,-2.368264,0.06940148,0.132817,5.335671
5446,1646666731401454,-2.367566,-0.1288678,0.2583874,5.454006
5447,1646666731451761,-2.24525,-0.1108959,0.2820577,5.571205
5448,1646666731501512,-2.091572,-0.1533647,-0.01594674,5.678858
5449,1646666731551480,-2.137382,0.1615226,0.1519025,5.774086
5450,1646666731601503,-2.122606,0.1427919,0.1032919,5.884136
5451,1646666731651502,-2.104151,0.1814469,-0.1924614,5.987638
5452,1646666731701516,-1.957716,-0.04150294,-0.02427659,6.095612
5453,1646666731751523,-2.223633,0.07263473,-0.03698486,6.203831
5454,1646666731801546,-2.389235,0.1071031,0.3352643,6.317389
5455,1646666731851561,-2.393105,0.08452903,0.2500708,6.433094
5456,1646666731901521,-2.286513,-0.03659878,0.2151021,6.561487
5457,1646666731951506,-2.395833,-0.07830173,0.3497255,6.681599
5458,1646666732001568,-2.496042,0.08681546,0.523045,6.801747
5459,1646666732051514,-2.458295,-0.04060837,0.2597653,6.924561
5460,1646666732101521,-2.33481,0.1508211,0.3804766,7.046669
5461,1646666732151544,-2.289573,-0.005182524,0.01608006,7.16542
5462,1646666732201580,-2.193736,-0.1511108,0.03391581,7.282435
5463,1646666732251552,-2.438497,0.2194657,0.04606849,7.399844
5464,1646666732301513,-2.43307,0.2402487,0.5426319,7.514255
5465,1646666732351522,-2.131257,-0.1257719,-0.007756891,7.625547
5466,1646666732401507,-2.33902,0.1168814,0.03710794,7.739836
5467,1646666732451790,-2.286511,0.1145918,0.6038688,7.852477
5468,1646666732501491,-1.863531,-0.1549747,-0.1514839,7.960828
5469,1646666732551502,-2.390336,-0.008486551,0.6034127,8.076408
5470,1646666732601483,-2.172652,-0.1330648,0.1908402,8.189106
5471,1646666732651515,-1.843466,-0.2020275,-0.2017123,8.300123
5472,1646666732701513,-2.686508,0.2059927,0.4984493,8.417706
5473,1646666732751509,-1.973043,-0.3479522,-0.5418532,8.523861
5474,1646666732801586,-2.526177,0.1542326,0.4847921,8.641237
